atividade,2011,2018
0191,0.04,0.03
0192,0.05,0.04
0280,0.19,0.17
0580,0.07,0.08
0680,0.01,0.01
0791,0.02,0.02
0792,0.13,0.1
1091,0.14,0.1
1092,0.42,0.58
1093,0.14,0.09
1100,0.41,0.38
1200,0.05,0.06
1300,0.07,0.08
1400,0.06,0.07
1500,0.05,0.06
1600,0.06,0.06
1700,0.05,0.04
1800,0.15,0.2
1991,0.03,0.02
1992,0.05,0.03
2091,0.07,0.05
2092,0.05,0.04
2093,0.1,0.07
2100,0.1,0.07
2200,0.07,0.06
2300,0.05,0.06
2491,0.04,0.04
2492,0.05,0.04
2500,0.05,0.05
2600,0.12,0.11
2700,0.07,0.07
2800,0.05,0.06
2991,0.01,0.01
2992,0.04,0.04
3000,0.05,0.06
3180,0.08,0.07
3300,0.05,0.04
3500,0.16,0.26
3680,0.55,1.03
4180,0.05,0.07
4580,0.03,0.02
4900,0.01,0.02
5000,0.18,0.13
5100,0.08,0.07
5280,0.03,0.04
5500,0.32,0.29
5600,0.04,0.03
5800,0.35,0.24
5980,0.26,0.3
6100,0.06,0.08
6280,0.11,0.08
6480,0.04,0.02
6800,0.04,0.03
6980,0.08,0.06
7180,0.16,0.19
7380,0.12,0.13
7700,0.32,0.24
7880,0.07,0.06
8000,0.32,0.34
8400,0.04,0.03
8591,0.02,0.02
8592,0.05,0.03
8691,0.02,0.02
8692,0.04,0.02
9080,0.32,0.29
9480,0.07,0.07
9700,0.18,0.16
