atividade,descricao,42001,42002,42003,42004,42005,42006,42007,42008,42009,42010,42011,42012,42013,42014,42015,42016,42017,42018,42019,42020,natureza,confianca_quantitativa,fontes_contexto,justificativa
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,0.4,2.0,1.0,1.0,2.0,estimativa_julgamental,baixa,ITUPORANGA;VAB;HIPOTESE,Reforço agrícola rural; escolha dos multiplicadores é hipótese.
0192,"Pecuária, inclusive o apoio à pecuária",5.0,5.0,3.0,4.0,6.0,0.5,0.5,0.5,2.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,estimativa_julgamental,baixa,ITAPIRANGA;FIESC_OESTE,Maior concentração pecuária no Oeste; magnitudes estimadas.
0280,Produção florestal; pesca e aquicultura,0.5,0.5,0.5,3.0,0.5,5.0,3.0,0.5,5.0,4.0,0.5,0.5,4.0,0.5,0.5,3.0,0.5,2.0,0.5,2.0,estimativa_julgamental,baixa,FIESC_MADEIRA;HIPOTESE,Combinação estimada de florestas interiores e pesca costeira.
0580,Extração de carvão mineral e de minerais não metálicos,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.0,1.0,0.3,0.3,0.3,0.3,3.0,0.3,0.3,5.0,10.0,3.0,estimativa_julgamental,baixa,FIESC_HISTORIA;TIJUCAS,Carvão no Sul e minerais para construção; distribuição estimada.
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.0,0.1,0.1,0.1,0.1,3.0,0.1,0.1,1.0,0.1,2.0,0.1,0.1,estimativa_julgamental,muito_baixa,HIPOTESE,Localização hipotética de apoio costeiro; não comprova extração local ou offshore.
0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,estimativa_julgamental,muito_baixa,HIPOTESE,Sem evidência de polo de extração de ferro; prior quase VAB e confiança muito baixa.
0792,"Extração de minerais metálicos não ferrosos, inclusive beneficiamentos",1.0,1.0,1.0,1.0,1.0,1.3,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,estimativa_julgamental,muito_baixa,HIPOTESE,Sem dados de extração metálica; pequenas diferenças apenas como hipótese.
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",6.0,8.0,3.0,7.0,10.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,estimativa_julgamental,baixa,FIESC_OESTE;ITAPIRANGA;HIPOTESE,Carnes e laticínios no Oeste; pesca incorporada de modo aproximado.
1092,Fabricação e refino de açúcar,2.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.0,0.5,0.5,3.0,0.5,0.5,2.0,0.5,0.5,0.5,estimativa_julgamental,muito_baixa,HIPOTESE,Açúcar: produção dispersa presumida; nenhuma usina identificada por esta pesquisa.
1093,Outros produtos alimentares,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,estimativa_julgamental,baixa,FIESC_OESTE;HIPOTESE,Alimentos diversos: extensão qualitativa da agroindústria.
1100,Fabricação de bebidas,0.8,0.8,0.8,2.0,0.8,0.8,0.8,2.0,0.8,2.0,0.8,4.0,2.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,estimativa_julgamental,baixa,HIPOTESE,Bebidas: hipótese de polos urbanos e produção regional.
1200,Fabricação de produtos do fumo,0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,0.3,4.0,0.3,0.3,5.0,0.3,0.3,0.3,3.0,0.3,3.0,estimativa_julgamental,baixa,HIPOTESE,Beneficiamento de fumo presumido próximo a áreas rurais; cultivo não equivale a fabricação.
1300,Fabricação de produtos têxteis,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2.0,0.4,0.4,4.0,9.0,0.4,2.0,0.4,0.4,0.4,0.4,0.4,0.4,estimativa_julgamental,baixa,FIESC_HISTORIA,Têxteis no Vale; intensidade relativa estimada.
1400,Confecção de artefatos do vestuário e acessórios,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,4.0,6.0,0.7,3.0,2.0,0.7,0.7,0.7,3.0,4.0,estimativa_julgamental,baixa,FIESC_HISTORIA;HIPOTESE,Vestuário no Vale e extensões presumidas ao Sul.
